"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Connecticut"	"09"	"2015"	"2015"	"Mar., 2015"	"2015/03"	2833	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"	"2015"	"2015"			5531	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2568	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2757	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"	"2016"	"2016"			5325	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2017"	"2017"	"Feb., 2017"	"2017/02"	2749	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2788	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"	"2017"	"2017"			5537	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2018"	"2018"	"Feb., 2018"	"2018/02"	2572	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2739	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"	"2018"	"2018"			5311	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"					32091	Not Applicable	Not Applicable
	"Delaware"	"10"	"2013"	"2013"	"Feb., 2013"	"2013/02"	675	Not Applicable	Not Applicable
	"Delaware"	"10"	"2013"	"2013"	"Mar., 2013"	"2013/03"	725	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"	"2013"	"2013"			1400	Not Applicable	Not Applicable
	"Delaware"	"10"	"2014"	"2014"	"Feb., 2014"	"2014/02"	669	Not Applicable	Not Applicable
	"Delaware"	"10"	"2014"	"2014"	"Mar., 2014"	"2014/03"	737	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"	"2014"	"2014"			1406	Not Applicable	Not Applicable
	"Delaware"	"10"	"2015"	"2015"	"Feb., 2015"	"2015/02"	747	Not Applicable	Not Applicable
	"Delaware"	"10"	"2015"	"2015"	"Mar., 2015"	"2015/03"	746	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"	"2015"	"2015"			1493	Not Applicable	Not Applicable
	"Delaware"	"10"	"2016"	"2016"	"Feb., 2016"	"2016/02"	709	Not Applicable	Not Applicable
	"Delaware"	"10"	"2016"	"2016"	"Mar., 2016"	"2016/03"	793	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"	"2016"	"2016"			1502	Not Applicable	Not Applicable
	"Delaware"	"10"	"2017"	"2017"	"Feb., 2017"	"2017/02"	742	Not Applicable	Not Applicable
	"Delaware"	"10"	"2017"	"2017"	"Mar., 2017"	"2017/03"	817	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"	"2017"	"2017"			1559	Not Applicable	Not Applicable
	"Delaware"	"10"	"2018"	"2018"	"Feb., 2018"	"2018/02"	801	Not Applicable	Not Applicable
	"Delaware"	"10"	"2018"	"2018"	"Mar., 2018"	"2018/03"	849	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"	"2018"	"2018"			1650	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"					9010	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2013"	"2013"	"Feb., 2013"	"2013/02"	380	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2013"	"2013"	"Mar., 2013"	"2013/03"	410	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"	"2013"	"2013"			790	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2014"	"2014"	"Feb., 2014"	"2014/02"	362	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2014"	"2014"	"Mar., 2014"	"2014/03"	387	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"	"2014"	"2014"			749	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2015"	"2015"	"Feb., 2015"	"2015/02"	412	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2015"	"2015"	"Mar., 2015"	"2015/03"	438	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"	"2015"	"2015"			850	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2016"	"2016"	"Feb., 2016"	"2016/02"	398	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2016"	"2016"	"Mar., 2016"	"2016/03"	434	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"	"2016"	"2016"			832	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2017"	"2017"	"Feb., 2017"	"2017/02"	406	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2017"	"2017"	"Mar., 2017"	"2017/03"	475	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"	"2017"	"2017"			881	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2018"	"2018"	"Feb., 2018"	"2018/02"	390	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2018"	"2018"	"Mar., 2018"	"2018/03"	433	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"	"2018"	"2018"			823	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"					4925	Not Applicable	Not Applicable
	"Florida"	"12"	"2013"	"2013"	"Feb., 2013"	"2013/02"	14829	Not Applicable	Not Applicable
	"Florida"	"12"	"2013"	"2013"	"Mar., 2013"	"2013/03"	16351	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2013"	"2013"			31180	Not Applicable	Not Applicable
	"Florida"	"12"	"2014"	"2014"	"Feb., 2014"	"2014/02"	14734	Not Applicable	Not Applicable
	"Florida"	"12"	"2014"	"2014"	"Mar., 2014"	"2014/03"	15905	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2014"	"2014"			30639	Not Applicable	Not Applicable
	"Florida"	"12"	"2015"	"2015"	"Feb., 2015"	"2015/02"	16062	Not Applicable	Not Applicable
	"Florida"	"12"	"2015"	"2015"	"Mar., 2015"	"2015/03"	16969	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2015"	"2015"			33031	Not Applicable	Not Applicable
	"Florida"	"12"	"2016"	"2016"	"Feb., 2016"	"2016/02"	16574	Not Applicable	Not Applicable
	"Florida"	"12"	"2016"	"2016"	"Mar., 2016"	"2016/03"	17821	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2016"	"2016"			34395	Not Applicable	Not Applicable
	"Florida"	"12"	"2017"	"2017"	"Feb., 2017"	"2017/02"	16487	Not Applicable	Not Applicable
	"Florida"	"12"	"2017"	"2017"	"Mar., 2017"	"2017/03"	17924	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2017"	"2017"			34411	Not Applicable	Not Applicable
	"Florida"	"12"	"2018"	"2018"	"Feb., 2018"	"2018/02"	17210	Not Applicable	Not Applicable
	"Florida"	"12"	"2018"	"2018"	"Mar., 2018"	"2018/03"	18018	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2018"	"2018"			35228	Not Applicable	Not Applicable
"Total"	"Florida"	"12"					198884	Not Applicable	Not Applicable
	"Georgia"	"13"	"2013"	"2013"	"Feb., 2013"	"2013/02"	6159	Not Applicable	Not Applicable
	"Georgia"	"13"	"2013"	"2013"	"Mar., 2013"	"2013/03"	6901	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"	"2013"	"2013"			13060	Not Applicable	Not Applicable
	"Georgia"	"13"	"2014"	"2014"	"Feb., 2014"	"2014/02"	6127	Not Applicable	Not Applicable
	"Georgia"	"13"	"2014"	"2014"	"Mar., 2014"	"2014/03"	6508	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"	"2014"	"2014"			12635	Not Applicable	Not Applicable
	"Georgia"	"13"	"2015"	"2015"	"Feb., 2015"	"2015/02"	6641	Not Applicable	Not Applicable
	"Georgia"	"13"	"2015"	"2015"	"Mar., 2015"	"2015/03"	7081	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"	"2015"	"2015"			13722	Not Applicable	Not Applicable
	"Georgia"	"13"	"2016"	"2016"	"Feb., 2016"	"2016/02"	6765	Not Applicable	Not Applicable
	"Georgia"	"13"	"2016"	"2016"	"Mar., 2016"	"2016/03"	7197	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"	"2016"	"2016"			13962	Not Applicable	Not Applicable
	"Georgia"	"13"	"2017"	"2017"	"Feb., 2017"	"2017/02"	6713	Not Applicable	Not Applicable
	"Georgia"	"13"	"2017"	"2017"	"Mar., 2017"	"2017/03"	7403	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"	"2017"	"2017"			14116	Not Applicable	Not Applicable
	"Georgia"	"13"	"2018"	"2018"	"Feb., 2018"	"2018/02"	7108	Not Applicable	Not Applicable
	"Georgia"	"13"	"2018"	"2018"	"Mar., 2018"	"2018/03"	7302	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"	"2018"	"2018"			14410	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"					81905	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2013"	"2013"	"Feb., 2013"	"2013/02"	870	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2013"	"2013"	"Mar., 2013"	"2013/03"	991	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"	"2013"	"2013"			1861	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2014"	"2014"	"Feb., 2014"	"2014/02"	862	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2014"	"2014"	"Mar., 2014"	"2014/03"	955	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"	"2014"	"2014"			1817	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2015"	"2015"	"Feb., 2015"	"2015/02"	915	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2015"	"2015"	"Mar., 2015"	"2015/03"	949	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"	"2015"	"2015"			1864	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2016"	"2016"	"Feb., 2016"	"2016/02"	909	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2016"	"2016"	"Mar., 2016"	"2016/03"	966	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"	"2016"	"2016"			1875	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2017"	"2017"	"Feb., 2017"	"2017/02"	878	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2017"	"2017"	"Mar., 2017"	"2017/03"	982	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"	"2017"	"2017"			1860	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2018"	"2018"	"Feb., 2018"	"2018/02"	927	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2018"	"2018"	"Mar., 2018"	"2018/03"	1060	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"	"2018"	"2018"			1987	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"					11264	Not Applicable	Not Applicable
	"Idaho"	"16"	"2013"	"2013"	"Feb., 2013"	"2013/02"	991	Not Applicable	Not Applicable
	"Idaho"	"16"	"2013"	"2013"	"Mar., 2013"	"2013/03"	1094	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"	"2013"	"2013"			2085	Not Applicable	Not Applicable
	"Idaho"	"16"	"2014"	"2014"	"Feb., 2014"	"2014/02"	1010	Not Applicable	Not Applicable
	"Idaho"	"16"	"2014"	"2014"	"Mar., 2014"	"2014/03"	1115	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"	"2014"	"2014"			2125	Not Applicable	Not Applicable
	"Idaho"	"16"	"2015"	"2015"	"Feb., 2015"	"2015/02"	993	Not Applicable	Not Applicable
	"Idaho"	"16"	"2015"	"2015"	"Mar., 2015"	"2015/03"	1108	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"	"2015"	"2015"			2101	Not Applicable	Not Applicable
	"Idaho"	"16"	"2016"	"2016"	"Feb., 2016"	"2016/02"	1069	Not Applicable	Not Applicable
	"Idaho"	"16"	"2016"	"2016"	"Mar., 2016"	"2016/03"	1167	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"	"2016"	"2016"			2236	Not Applicable	Not Applicable
	"Idaho"	"16"	"2017"	"2017"	"Feb., 2017"	"2017/02"	1124	Not Applicable	Not Applicable
	"Idaho"	"16"	"2017"	"2017"	"Mar., 2017"	"2017/03"	1225	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"	"2017"	"2017"			2349	Not Applicable	Not Applicable
	"Idaho"	"16"	"2018"	"2018"	"Feb., 2018"	"2018/02"	1165	Not Applicable	Not Applicable
	"Idaho"	"16"	"2018"	"2018"	"Mar., 2018"	"2018/03"	1282	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"	"2018"	"2018"			2447	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"					13343	Not Applicable	Not Applicable
	"Illinois"	"17"	"2013"	"2013"	"Feb., 2013"	"2013/02"	8505	Not Applicable	Not Applicable
	"Illinois"	"17"	"2013"	"2013"	"Mar., 2013"	"2013/03"	9137	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"	"2013"	"2013"			17642	Not Applicable	Not Applicable
	"Illinois"	"17"	"2014"	"2014"	"Feb., 2014"	"2014/02"	8318	Not Applicable	Not Applicable
	"Illinois"	"17"	"2014"	"2014"	"Mar., 2014"	"2014/03"	9091	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"	"2014"	"2014"			17409	Not Applicable	Not Applicable
	"Illinois"	"17"	"2015"	"2015"	"Feb., 2015"	"2015/02"	8488	Not Applicable	Not Applicable
	"Illinois"	"17"	"2015"	"2015"	"Mar., 2015"	"2015/03"	9595	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"	"2015"	"2015"			18083	Not Applicable	Not Applicable
	"Illinois"	"17"	"2016"	"2016"	"Feb., 2016"	"2016/02"	9028	Not Applicable	Not Applicable
	"Illinois"	"17"	"2016"	"2016"	"Mar., 2016"	"2016/03"	9445	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"	"2016"	"2016"			18473	Not Applicable	Not Applicable
	"Illinois"	"17"	"2017"	"2017"	"Feb., 2017"	"2017/02"	9257	Not Applicable	Not Applicable
	"Illinois"	"17"	"2017"	"2017"	"Mar., 2017"	"2017/03"	9925	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"	"2017"	"2017"			19182	Not Applicable	Not Applicable
	"Illinois"	"17"	"2018"	"2018"	"Feb., 2018"	"2018/02"	9134	Not Applicable	Not Applicable
	"Illinois"	"17"	"2018"	"2018"	"Mar., 2018"	"2018/03"	9562	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"	"2018"	"2018"			18696	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"					109485	Not Applicable	Not Applicable
	"Indiana"	"18"	"2013"	"2013"	"Feb., 2013"	"2013/02"	5030	Not Applicable	Not Applicable
	"Indiana"	"18"	"2013"	"2013"	"Mar., 2013"	"2013/03"	5509	Not Applicable	Not Applicable
"Total"	"Indiana"	"18"	"2013"	"2013"			10539	Not Applicable	Not Applicable
	"Indiana"	"18"	"2014"	"2014"	"Feb., 2014"	"2014/02"	4827	Not Applicable	Not Applicable
	"Indiana"	"18"	"2014"	"2014"	"Mar., 2014"	"2014/03"	5157	Not Applicable	Not Applicable
"Total"	"Indiana"	"18"	"2014"	"2014"			9984	Not Applicable	Not Applicable
	"Indiana"	"18"	"2015"	"2015"	"Feb., 2015"	"2015/02"	5018	Not Applicable	Not Applicable
	"Indiana"	"18"	"2015"	"2015"	"Mar., 2015"	"2015/03"	5652	Not Applicable	Not Applicable
